Country,Year,GDP
Nicaragua,1961,3528186738.81146
Netherlands,1961,208604535834.846
Norway,1961,94150912514.0429
Nepal,1961,2844067149.31039
OECD members,1961,10632177048440.5
Pakistan,1961,16470175251.4007
Panama,1961,3159001057.86244
Peru,1961,33281959207.9495
Philippines,1961,32972697348.8896
Papua New Guinea,1961,2684655793.05367
Puerto Rico,1961,17324056089.1939
Portugal,1961,47546447937.8289
Paraguay,1961,3003674946.42086
Post-demographic dividend,1961,10331279729069.7
Rwanda,1961,936185215.054141
South Asia,1961,215588958992.676
Sudan,1961,9684616513.60073
Senegal,1961,4570503498.27915
Singapore,1961,7382078105.87869
Sierra Leone,1961,935006052.419499
Sub-Saharan Africa (excluding high income),1961,288561822845.146
Sub-Saharan Africa,1961,288686961565.957
Suriname,1961,1103924872.49449
Sweden,1961,157591620809.927
Seychelles,1961,134004747.605343
Chad,1961,2197029295.47761
East Asia & Pacific (IDA & IBRD countries),1961,241831894687.912
Togo,1961,687552483.863446
Thailand,1961,19141167476.8231
Latin America & the Caribbean (IDA & IBRD countries),1961,889212967004.845
South Asia (IDA & IBRD),1961,215588958992.676
Sub-Saharan Africa (IDA & IBRD countries),1961,288686961565.957
Trinidad and Tobago,1961,4203907194.80673
Turkey,1961,101595477195.097
Upper middle income,1961,1815057696712.21
Uruguay,1961,14044249768.5867
United States,1961,3593116253305.35
St. Vincent and the Grenadines,1961,144127490.527538
"Venezuela, RB",1961,118024611218.109
World,1961,13208793504511.3
South Africa,1961,93612077297.9291
Zambia,1961,4688094181.90156
Zimbabwe,1961,4304197046.1416
Argentina,1962,125984766250.65
Australia,1962,234906337351.139
Austria,1962,109952172697.415
Burundi,1962,621589073.145239
Belgium,1962,148871960992.012
Benin,1962,1407871139.77503
Burkina Faso,1962,1286255331.61624
Bangladesh,1962,22064814112.6956
"Bahamas, The",1962,2899925138.96336
Belize,1962,119667152.419723
Bermuda,1962,1517951355.21397
Bolivia,1962,4399803030.18928
Brazil,1962,298762900195.275
Botswana,1962,263147815.322015
Central African Republic,1962,921524190.644542
Canada,1962,398164652006.414
Chile,1962,34910182119.1023
China,1962,114819071171.696
Cote d'Ivoire,1962,6427686676.03012
Cameroon,1962,5544977318.49971
"Congo, Dem. Rep.",1962,17569984822.321
"Congo, Rep.",1962,1684494851.31753
Colombia,1962,45585270019.1312
Costa Rica,1962,4611466470.85388
Denmark,1962,119305401296.036
Dominican Republic,1962,5682712730.89127
Algeria,1962,27061141389.0302
East Asia & Pacific (excluding high income),1962,266255721322.423
Early-demographic dividend,1962,1384375421228.44
East Asia & Pacific,1962,1792373341494.72
Ecuador,1962,12300225236.4756
"Egypt, Arab Rep.",1962,20735471115.0257
Euro area,1962,3635832414908.89
Spain,1962,318123308791.017
European Union,1962,5075142619096.57
Finland,1962,65067877138.9059
Fiji,1962,834981909.492963
France,1962,768079514212.744
Gabon,1962,2988967099.55027
United Kingdom,1962,822311690317.643
Ghana,1962,8051279253.65703
Greece,1962,76009057613.0146
Guatemala,1962,7618212169.91451
Guyana,1962,1004262049.58139
High income,1962,11275967913542.6
"Hong Kong SAR, China",1962,15393016982.7536
Honduras,1962,2610007779.3628
Heavily indebted poor countries (HIPC),1962,115458961419.943
Haiti,1962,3977890438.27888
IBRD only,1962,2519031726812.34
IDA & IBRD total,1962,2816330797751.82
IDA total,1962,288173348861.45
IDA blend,1962,123280322081.845
Indonesia,1962,66030056426.8484
IDA only,1962,170406280400.877
India,1962,180903338880.366
"Iran, Islamic Rep.",1962,92588125027.1191
Iceland,1962,2694978587.9113
Israel,1962,27070967807.7775
Italy,1962,680647147831.04
Japan,1962,1176973469391.18
Kenya,1962,5030224355.08443
"Korea, Rep.",1962,31330353675.1088
Latin America & Caribbean (excluding high income),1962,911589330433.808
Latin America & Caribbean,1962,995209126298.453
Sri Lanka,1962,6551808521.19243
Lower middle income,1962,631647961457.221
Low & middle income,1962,2685408110766.9
Lesotho,1962,304998418.767209
Late-demographic dividend,1962,1175949723171.74
Luxembourg,1962,9985707558.64393
Madagascar,1962,3925192556.84327
Mexico,1962,196227433882.394
Middle income,1962,2603427026578.86
Myanmar,1962,3718263847.95786
Mauritania,1962,987426619.383748
Malawi,1962,957363456.704147
Malaysia,1962,14300957697.912
North America,1962,4201199599358.7
Niger,1962,2621189232.75601
Nigeria,1962,73370985760.2163
Nicaragua,1962,3940930924.5486
Netherlands,1962,225866360770.063
Norway,1962,98867544631.7181
Nepal,1962,3058295044.15399
OECD members,1962,11330887600767.7
Pakistan,1962,17716927569.3664
Panama,1962,3299012103.09285
Peru,1962,35461217848.3697
Philippines,1962,34109260339.3413
Papua New Guinea,1962,2914738352.58713
Puerto Rico,1962,18547294474.7603
Portugal,1962,50546984156.5729
Paraguay,1962,3130204073.45938
Post-demographic dividend,1962,11001130688569.1
Rwanda,1962,819489796.498105
South Asia,1962,232154559532.854
Sudan,1962,9576105313.26003
Senegal,1962,4748018522.43761
Singapore,1962,7153027947.96938
Sierra Leone,1962,997513439.72961
Sub-Saharan Africa (excluding high income),1962,304013618699.741
Sub-Saharan Africa,1962,304146330634.61
Suriname,1962,1175679989.20663
Sweden,1962,168341665008.642
Seychelles,1962,141936818.879032
Chad,1962,2141863216.79766
East Asia & Pacific (IDA & IBRD countries),1962,265721931834.415
Togo,1962,785776309.14498
Thailand,1962,20448699889.0251
Latin America & the Caribbean (IDA & IBRD countries),1962,955008875354.155
South Asia (IDA & IBRD),1962,232154559532.854
Sub-Saharan Africa (IDA & IBRD countries),1962,304146330634.61
Trinidad and Tobago,1962,4524686323.72949
Turkey,1962,107141631999.764
Upper middle income,1962,1967132843069.23
Uruguay,1962,14387002602.5543
United States,1962,3801516995997.07
St. Vincent and the Grenadines,1962,149416573.89306
"Venezuela, RB",1962,131159977731.603
World,1962,14089121851288.7
South Africa,1962,101044671851.332
Zambia,1962,5260700256.40491
Zimbabwe,1962,4256585229.66864
Argentina,1963,139300642138.499
Australia,1963,248961440446.676
Austria,1963,113778700633.421
Burundi,1963,646248914.035703
Belgium,1963,154172785119.867
Benin,1963,1482401906.79932
Burkina Faso,1963,1334676997.28504
Bangladesh,1963,22419232005.0757
"Bahamas, The",1963,3202259632.40814
Belize,1963,125567390.38702
Bermuda,1963,1590205839.72223
Bolivia,1963,4615984798.22048
Brazil,1963,307885589183.513
Botswana,1963,278447111.054487
Central African Republic,1963,930256357.703387
Canada,1963,423315574906.276
Chile,1963,35241923981.3184
China,1963,134280903738.165
Cote d'Ivoire,1963,6227807842.64401
Cameroon,1963,5657321537.44254
"Congo, Dem. Rep.",1963,17745218853.9693
"Congo, Rep.",1963,1746424761.04652
Colombia,1963,47226344933.0948
Costa Rica,1963,4989169904.6426
Denmark,1963,124740066332.02
Dominican Republic,1963,4973405965.89199
Algeria,1963,28740798889.5036
East Asia & Pacific (excluding high income),1963,292571654216.571
Early-demographic dividend,1963,1458923961627.71
East Asia & Pacific,1963,1910747969854.99
Ecuador,1963,12703067759.1904
"Egypt, Arab Rep.",1963,21754420935.5267
Euro area,1963,3816318122255.58
Spain,1963,338015988434.834
European Union,1963,5298166075947.08
Finland,1963,68518334138.5461
Fiji,1963,812435168.867152
France,1963,804778623588.979
Gabon,1963,3238047760.73506
United Kingdom,1963,845245772817.275
Ghana,1963,8161501175.62329
Greece,1963,83148330609.7444
Guatemala,1963,7950501010.70796
Guyana,1963,1110121500.64233
High income,1963,11902443654749.3
"Hong Kong SAR, China",1963,17646886393.4852
Honduras,1963,2845878266.7474
Heavily indebted poor countries (HIPC),1963,120139371810.953
Haiti,1963,4063884388.6819
IBRD only,1963,2659018222145.41
IDA & IBRD total,1963,2969886732974.89
IDA total,1963,301539924799.906
IDA blend,1963,130126964868.377
Indonesia,1963,66744230561.7271
IDA only,1963,176726182120.564
India,1963,176135142746.43
"Iran, Islamic Rep.",1963,108529645820.801
Iceland,1963,2893645114.07024
Israel,1963,29532792307.5779
Italy,1963,702890858069.224
Japan,1963,1245469887052.25
Kenya,1963,5131286299.38207
"Korea, Rep.",1963,33581013458.6323
Latin America & Caribbean (excluding high income),1963,960298270288.396
Latin America & Caribbean,1963,1046966639005.91
Sri Lanka,1963,6718024859.08101
Lower middle income,1963,642365094027.379
Low & middle income,1963,2835117965260.53
Lesotho,1963,311568406.69239
Late-demographic dividend,1963,1248990586467.36
Luxembourg,1963,9912319238.15026
Madagascar,1963,3907440721.85032
Mexico,1963,210159581679.917
Middle income,1963,2750478759457.38
Myanmar,1963,4115844769.08342
Mauritania,1963,1146780790.68495
Malawi,1963,1087722788.7913
Malaysia,1963,15399966772.5816
North America,1963,4469719864486.87
Niger,1963,2802569284.48091
Nigeria,1963,76955141420.1779
Nicaragua,1963,4316310736.1359
Netherlands,1963,245388204759.343
Norway,1963,104093296271.662
Nepal,1963,3021497974.07339
OECD members,1963,11957593008148.2
Pakistan,1963,19562919065.2398
Panama,1963,3601202807.95723
Peru,1963,37454752993.7436
Philippines,1963,35905389339.4908
Papua New Guinea,1963,3214038837.69315
Puerto Rico,1963,20254543713.1943
Portugal,1963,54322332605.4598
Paraguay,1963,3323274270.62304
Post-demographic dividend,1963,11611925699971.9
Rwanda,1963,876932173.524515
South Asia,1963,229696504971.491
Sudan,1963,10225085063.6265
Senegal,1963,4811271126.19658
Singapore,1963,7713397891.48921
Sierra Leone,1963,1069136458.7436
Sub-Saharan Africa (excluding high income),1963,319091113272.285
Sub-Saharan Africa,1963,319220553191.067
Suriname,1963,1316761587.91142
Sweden,1963,174774762865.529
Seychelles,1963,140431478.00256
Chad,1963,2154847786.76298
East Asia & Pacific (IDA & IBRD countries),1963,291985106544.527
Togo,1963,907255069.051381
Thailand,1963,22121743302.8005
Latin America & the Caribbean (IDA & IBRD countries),1963,1003768231792.97
South Asia (IDA & IBRD),1963,229696504971.491
Sub-Saharan Africa (IDA & IBRD countries),1963,319220553191.067
Trinidad and Tobago,1963,4556080872.56027
Turkey,1963,110166807632.599
Upper middle income,1963,2105991748245.53
Uruguay,1963,14537433684.9281
United States,1963,4044814083740.87
St. Vincent and the Grenadines,1963,150738813.551505
"Venezuela, RB",1963,136619992722.104
World,1963,14872338887273.6
South Africa,1963,107231395437.422
Zambia,1963,6136473014.94653
Zimbabwe,1963,4465607851.95465
Argentina,1964,138381639345.114
Australia,1964,254892994999.378
Austria,1964,120199075025.325
Burundi,1964,676060330.530198
Belgium,1964,159038316308.665
Benin,1964,1535410564.13499
Burkina Faso,1964,1341852395.43964
Bangladesh,1964,22994691542.7769
"Bahamas, The",1964,3492766343.41696
Belize,1964,131558016.09477
Bermuda,1964,1818617223.97319
Bolivia,1964,4946978126.99362
Brazil,1964,320663950240.226
Botswana,1964,296111848.944554
Central African Republic,1964,936254499.254336
Canada,1964,451698849392.536
Chile,1964,39201792004.9645
China,1964,148581819991.884
Cote d'Ivoire,1964,6948823557.22084
Cameroon,1964,5918404415.7153
"Congo, Dem. Rep.",1964,18947543549.1784
"Congo, Rep.",1964,1770158367.26747
Colombia,1964,49699463872.3103
Costa Rica,1964,5336881072.35454
Denmark,1964,128159079420.128
Dominican Republic,1964,5642992761.0521
Algeria,1964,27359811853.9881
East Asia & Pacific (excluding high income),1964,314731930883.053
Early-demographic dividend,1964,1517986923140.36
East Asia & Pacific,1964,2082535489922.07
Ecuador,1964,12659937587.1629
"Egypt, Arab Rep.",1964,22852236841.2059
Euro area,1964,4017224674470.7
Spain,1964,362508830812.602
European Union,1964,5525991592592.41
Finland,1964,70144152940.6732
Fiji,1964,812435168.867152
France,1964,846739845823.178
Gabon,1964,3384019101.66093
United Kingdom,1964,862567488917.333
Georgia,1964,7508222452.84829
Ghana,1964,7813960756.81338
Greece,1964,88219419688.5285
Guatemala,1964,8388740894.07998
Guyana,1964,1168217199.33263
High income,1964,12627101952164.4
"Hong Kong SAR, China",1964,17963599515.6862
Honduras,1964,2998811276.01841
Heavily indebted poor countries (HIPC),1964,123131944763.471
Haiti,1964,4040485078.78509
IBRD only,1964,2791470926771.92
IDA & IBRD total,1964,3103422923975.37
IDA total,1964,303519462091.245
IDA blend,1964,129195092136.096
Indonesia,1964,68607293522.2793
IDA only,1964,180393861470.281
India,1964,176037689338.708
"Iran, Islamic Rep.",1964,120728321489.5
Iceland,1964,3146432026.26897
Israel,1964,29509270982.3542
Italy,1964,744957429552.39
Japan,1964,1377969967687.15
Kenya,1964,5887051209.2518
"Korea, Rep.",1964,37605195573.5899
Latin America & Caribbean (excluding high income),1964,996341984210.415
Latin America & Caribbean,1964,1089976121419.41
Sri Lanka,1964,7055524282.44819
Lower middle income,1964,648891701260.6
Low & middle income,1964,2959386279926.15
Lesotho,1964,310304930.158507
Late-demographic dividend,1964,1330434526372.51
Luxembourg,1964,10021939984.2351
Madagascar,1964,3988111883.32035
Mexico,1964,222971202539.928
Middle income,1964,2871057451763.59
Myanmar,1964,3916153089.07983
Middle East & North Africa (excluding high income),1964,234331610942.423
Mauritania,1964,1149429418.135
Malawi,1964,1231835576.1672
Malaysia,1964,16603737673.3372
North America,1964,4761244465800.55
Niger,1964,2791849535.48439
Nigeria,1964,73684152215.8791
Nicaragua,1964,4458798040.88627
Netherlands,1964,252114551476.487
Norway,1964,108034802732.448
Nepal,1964,3234230863.99325
OECD members,1964,12692059313221.5
Oman,1964,1545516775.03251
Pakistan,1964,20695602650.0708
Panama,1964,3874224465.50179
Peru,1964,40540620296.0538
Philippines,1964,37494559779.6482
Papua New Guinea,1964,3400895277.26384
Puerto Rico,1964,21773462002.9452
Portugal,1964,56537548131.5364
Paraguay,1964,3389457388.4915
Post-demographic dividend,1964,12318109882278.5
Rwanda,1964,938395567.546847
South Asia,1964,231874874022.141
Sudan,1964,9859523192.05264
Senegal,1964,4949679896.35134
Singapore,1964,8498591975.24477
Sierra Leone,1964,1087311778.52094
El Salvador,1964,8087863926.55763
Sub-Saharan Africa (excluding high income),1964,323940683922.646
Sub-Saharan Africa,1964,324092134853.363
Suriname,1964,1569579812.79042
Sweden,1964,178429017363.201
Seychelles,1964,159946548.974313
Chad,1964,2115907696.34924
East Asia & Pacific (IDA & IBRD countries),1964,314100956286.858
Togo,1964,992616150.030607
Thailand,1964,24582238292.991
Latin America & the Caribbean (IDA & IBRD countries),1964,1044151231999.34
Middle East & North Africa (IDA & IBRD countries),1964,232833156454.846
South Asia (IDA & IBRD),1964,231874874022.141
Sub-Saharan Africa (IDA & IBRD countries),1964,324092134853.363
Trinidad and Tobago,1964,4740912943.75436
Tunisia,1964,5234649503.98211
Turkey,1964,122519608002.794
Upper middle income,1964,2222863672604.3
Uruguay,1964,14982694335.3787
United States,1964,4307726999184.04
St. Vincent and the Grenadines,1964,150738813.551505
"Venezuela, RB",1964,138683296313.863
World,1964,15735347529605.3
South Africa,1964,111990655325.825
Zambia,1964,5794652456.69258
Zimbabwe,1964,4533624866.00915
Argentina,1965,142798776600.374
Australia,1965,270958209894.165
Austria,1965,123814720654.546
Burundi,1965,769502134.875392
Belgium,1965,165190152085.361
Benin,1965,1551968411.17281
Burkina Faso,1965,1460248258.7904
Bangladesh,1965,22563342420.6917
"Bahamas, The",1965,3828006034.15818
Belize,1965,138021623.455083
Bermuda,1965,2060039383.27642
Bolivia,1965,5259489594.76929
Brazil,1965,336425435318.519
Botswana,1965,313655172.933376
Central African Republic,1965,980039499.899138
Canada,1965,465661791231.604
Chile,1965,40619328747.0318
China,1965,140008648972.074
Cote d'Ivoire,1965,7268341011.64067
Cameroon,1965,5272584243.96726
"Congo, Dem. Rep.",1965,18760770287.0119
"Congo, Rep.",1965,1807619734.17443
Colombia,1965,51754469194.4561
Costa Rica,1965,5638421573.20137
Caribbean small states,1965,21985239537.7641
Denmark,1965,132544177007.189
Dominican Republic,1965,5830765731.4806
Algeria,1965,29946124625.8101
East Asia & Pacific (excluding high income),1965,311774528666.169
Early-demographic dividend,1965,1600769580021.19
East Asia & Pacific,1965,2260667655838.02
Ecuador,1965,13244962663.9128
"Egypt, Arab Rep.",1965,23036257706.6214
Euro area,1965,4228620020500.86
Spain,1965,378242940861.651
European Union,1965,5772341906812.77
Finland,1965,71665459589.2979
Fiji,1965,920910117.869458
France,1965,886436354593.11
Gabon,1965,3523276660.31173
United Kingdom,1965,882501122554.945
Georgia,1965,7977486321.87752
Ghana,1965,8054268496.95871
"Gambia, The",1965,172396307.285248
Greece,1965,93055111746.9691
Guatemala,1965,8733700651.71688
Guyana,1965,1218609671.46207
High income,1965,13202017437770.9
"Hong Kong SAR, China",1965,18251678300.8115
Honduras,1965,3178066505.27803
Heavily indebted poor countries (HIPC),1965,125422758261.511
Haiti,1965,3954920283.77295
IBRD only,1965,2918928760618.63
IDA & IBRD total,1965,3217349640844.71
IDA total,1965,292026447394.261
IDA blend,1965,117827691180.481
Indonesia,1965,69554350527.2298
IDA only,1965,182640243034.163
India,1965,189814333825.803
"Iran, Islamic Rep.",1965,134772482216.499
Iceland,1965,3106558493.16308
Israel,1965,30393079599.0481
Italy,1965,798435036453.366
Jamaica,1965,6870363487.39196
Japan,1965,1530678560697.77
Kenya,1965,6084928660.25219
"Korea, Rep.",1965,41033647878.4424
Latin America & Caribbean (excluding high income),1965,1041066938437.58
Latin America & Caribbean,1965,1137919929854.76
Sri Lanka,1965,7509831213.94651
Lower middle income,1965,660678901471.5
Low & middle income,1965,3069443034144.74
Lesotho,1965,344165595.033866
Late-demographic dividend,1965,1365537962341.3
Luxembourg,1965,10043660616.0983
Morocco,1965,13145161283.9847
Madagascar,1965,4208597265.39408
Mexico,1965,236025998947.343
Middle income,1965,2979547514999.52
Myanmar,1965,3684110880.31147
Middle East & North Africa (excluding high income),1965,256779368840.274
Mauritania,1965,1190431093.03363
Malawi,1965,1321532298.86761
Malaysia,1965,17244168158.594
North America,1965,4883142004778.52
Niger,1965,2795279843.88894
Nigeria,1965,62083593244.3189
Nicaragua,1965,4769554586.78028
Netherlands,1965,265426236973.72
Norway,1965,114793545345.75
Nepal,1965,3183405006.88147
OECD members,1965,13271537519546.1
Oman,1965,2568943823.14695
Pakistan,1965,21813291973.8586
Panama,1965,4205584217.68599
Peru,1965,42102473804.2926
Philippines,1965,39490826454.6295
Papua New Guinea,1965,3539327409.30789
Puerto Rico,1965,23128473175.4463
Portugal,1965,60803013572.6168
Paraguay,1965,3699605185.76849
Post-demographic dividend,1965,12878254106739.8
Rwanda,1965,1003295169.31048
South Asia,1965,246861369828.095
Sudan,1965,9999930816.36486
Senegal,1965,4889304054.12451
Singapore,1965,9561717154.66765
Sierra Leone,1965,1087706272.12363
El Salvador,1965,8527588863.54527
Sub-Saharan Africa (excluding high income),1965,321973573892.045
Sub-Saharan Africa,1965,322126154972.256
Suriname,1965,1759498970.13806
Sweden,1965,184434042265.902
Seychelles,1965,160753862.325896
Chad,1965,2132140969.44362
East Asia & Pacific (IDA & IBRD countries),1965,311149483070.138
Togo,1965,1047213726.41819
Thailand,1965,26700239601.4404
Latin America & the Caribbean (IDA & IBRD countries),1965,1089500110112.37
Middle East & North Africa (IDA & IBRD countries),1965,255137370152.993
South Asia (IDA & IBRD),1965,246861369828.094
Sub-Saharan Africa (IDA & IBRD countries),1965,322126154972.255
Trinidad and Tobago,1965,4837746930.51716
Tunisia,1965,5243127148.24647
Turkey,1965,128317861002.358
Upper middle income,1965,2321581004673.93
Uruguay,1965,14434802057.9934
United States,1965,4415420174163.64
St. Vincent and the Grenadines,1965,136382730.130802
"Venezuela, RB",1965,142613399299.256
World,1965,16429935208693.3
South Africa,1965,120050147882.96
Zambia,1965,6253571345.18771
Zimbabwe,1965,4912953663.41115
Argentina,1966,149685248718.023
Australia,1966,284765576902.118
Austria,1966,129352102232.948
Burundi,1966,767209913.650335
Belgium,1966,172118441191.469
Benin,1966,1611600246.49176
Burkina Faso,1966,1505089181.74741
Bangladesh,1966,24704480424.0584
"Bahamas, The",1966,4150391651.56297
Belize,1966,148189987.634632
Bermuda,1966,2103408633.45069
Bolivia,1966,5708094766.25371
Brazil,1966,374869719821.502
Botswana,1966,346799292.275962
Central African Republic,1966,993800363.656349
Canada,1966,488924701759.858
Chile,1966,42078380449.811
China,1966,134268294375.222
Cote d'Ivoire,1966,8180390513.785
Cameroon,1966,5607199515.6448
"Congo, Dem. Rep.",1966,19573617893.0754
"Congo, Rep.",1966,1945565093.23842
Colombia,1966,54825122923.2744
Costa Rica,1966,6116182193.40398
Caribbean small states,1966,23312852619.9943
Denmark,1966,137812738725.373
Dominican Republic,1966,5844693126.77603
Algeria,1966,33179179683.712
East Asia & Pacific (excluding high income),1966,320078194035.679
Early-demographic dividend,1966,1714930592729.73
East Asia & Pacific,1966,2496147750009.71
Ecuador,1966,13497867066.9789
